,kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,LabName,MeasurementDate
0,25.0,4.1,0.0,0,770,AXIOM-Artis,Single Plane,8,0.8648366079817638,U106,20180328
1,25.0,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,1.0155097548189136,U106,20180328
2,25.0,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,1.1012991633561342,U106,20180328
3,25.0,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,1.1570490643495117,U106,20180328
4,25.0,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,1.247135067376568,U106,20180328
5,25.0,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,1.2887548544689038,U106,20180328
6,26.0,4.1,0.0,0,770,AXIOM-Artis,Single Plane,8,0.9297330279678688,U106,20180328
7,26.0,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,1.1013407871875798,U106,20180328
8,26.0,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,1.2003310063585384,U106,20180328
9,26.0,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,1.265285934575817,U106,20180328
10,26.0,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,1.3721221743877965,U106,20180328
11,26.0,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,1.423502701558642,U106,20180328
12,27.0,4.1,0.0,0,770,AXIOM-Artis,Single Plane,8,0.9948145739360118,U106,20180328
13,27.0,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,1.18846867829317,U106,20180328
14,27.0,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,1.301555194429177,U106,20180328
15,27.0,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,1.3763861634954977,U106,20180328
16,27.0,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,1.5011133749781382,U106,20180328
17,27.0,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,1.5627896923558207,U106,20180328
18,28.0,4.1,0.0,0,770,AXIOM-Artis,Single Plane,8,1.0599178087233598,U106,20180328
19,28.0,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,1.2766236582458819,U106,20180328
20,28.0,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,1.4046642361096187,U106,20180328
21,28.0,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,1.4900481436762472,U106,20180328
22,28.0,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,1.633959308076116,U106,20180328
23,28.0,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,1.7066713281089376,U106,20180328
24,29.0,4.1,0.0,0,770,AXIOM-Artis,Single Plane,8,1.1247529498273838,U106,20180328
25,29.0,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,1.3652026847092573,U106,20180328
26,29.0,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,1.5087621053996603,U106,20180328
