,kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,LabName,MeasurementDate
0,25.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,0.7831282088415233,U104,20180412
1,25.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,0.9751846766909921,U104,20180412
2,25.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,1.1843383496937576,U104,20180412
3,25.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,1.2852684214320587,U104,20180412
4,25.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,0.8606614299051353,U104,20180412
5,25.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,1.0127985165783617,U104,20180412
6,25.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,1.1950257796491428,U104,20180412
7,25.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,1.2883255476425182,U104,20180412
8,26.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,0.8381788653530371,U104,20180412
9,26.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,1.0553583953698968,U104,20180412
10,26.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,1.2973550584013782,U104,20180412
11,26.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,1.4190865333937368,U104,20180412
12,26.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,0.9248241259965755,U104,20180412
13,26.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,1.0981143111613036,U104,20180412
14,26.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,1.309872589324199,U104,20180412
15,26.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,1.4229199250529678,U104,20180412
16,27.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,0.8930529463488109,U104,20180412
17,27.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,1.1364911793004424,U104,20180412
18,27.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,1.4136025617966805,U104,20180412
19,27.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,1.5574017292030877,U104,20180412
20,27.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,0.9890980548334876,U104,20180412
21,27.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,1.1846699028144525,U104,20180412
22,27.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,1.428048416236988,U104,20180412
23,27.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,1.562033062025508,U104,20180412
24,28.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,0.9476336505890921,U104,20180412
25,28.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,1.218330333832539,U104,20180412
26,28.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,1.5327721206166207,U104,20180412
27,28.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,1.700214252692626,U104,20180412
28,28.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.053319049078817,U104,20180412
29,28.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,1.2721934469355876,U104,20180412
30,28.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,1.5492816489647232,U104,20180412
31,28.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,1.7057154345782035,U104,20180412
32,29.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.001738492682851,U104,20180412
33,29.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,1.3003902591691952,U104,20180412
34,29.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,1.6535592017842653,U104,20180412
35,29.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,1.8449146071767084,U104,20180412
36,29.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.1172026917346296,U104,20180412
37,29.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,1.3600895734240088,U104,20180412
38,29.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,1.6721413045058766,U104,20180412
39,29.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,1.8512038019909682,U104,20180412
40,30.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.0552461461285618,U104,20180412
41,30.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,1.382386044989529,U104,20180412
42,30.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,1.775802877049661,U104,20180412
43,30.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,1.9927337308619901,U104,20180412
44,30.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.1805682632030214,U104,20180412
45,30.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,1.4480476261994424,U104,20180412
46,30.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,1.796552102561772,U104,20180412
47,30.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,1.9999082137707502,U104,20180412
48,31.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.1081830122904959,U104,20180412
49,31.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,1.4641965668764787,U104,20180412
50,31.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,1.8993241794990499,U104,20180412
51,31.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,2.143237504311792,U104,20180412
52,31.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.2433912327154237,U104,20180412
53,31.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,1.5359216748904205,U104,20180412
54,31.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,1.9223358569715292,U104,20180412
55,31.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,2.151323753414942,U104,20180412
56,32.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.160365698448384,U104,20180412
57,32.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,1.5455000613690972,U104,20180412
58,32.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,2.023450441424516,U104,20180412
59,32.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,2.295294660837872,U104,20180412
60,32.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.3054451833370548,U104,20180412
61,32.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,1.6233471194520823,U104,20180412
62,32.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,2.0487763025204124,U104,20180412
63,32.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,2.304286427916086,U104,20180412
64,33.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.2117773949266912,U104,20180412
65,33.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,1.626200732316632,U104,20180412
66,33.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,2.148052782066692,U104,20180412
67,33.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,2.449216964111739,U104,20180412
