,kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,LabName,MeasurementDate
0,25.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,0.824753157498877,U601,20180418
1,25.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,0.9948904985371437,U601,20180418
2,25.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,1.1898099415652181,U601,20180418
3,25.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,1.2868220857342394,U601,20180418
4,25.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,0.8920551779875302,U601,20180418
5,25.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,1.0291626498707875,U601,20180418
6,25.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,1.2000032074001785,U601,20180418
7,25.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,1.2897806412440498,U601,20180418
8,26.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,0.8845996917601802,U601,20180418
9,26.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,1.0777295876998003,U601,20180418
10,26.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,1.3037580070976957,U601,20180418
11,26.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,1.4210318964488653,U601,20180418
12,26.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,0.9601304328922594,U601,20180418
13,26.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,1.116788373647043,U601,20180418
14,26.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,1.3157181012182675,U601,20180418
15,26.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,1.4247526588791983,U601,20180418
16,27.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,0.9444087811116263,U601,20180418
17,27.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,1.1616703163744895,U601,20180418
18,27.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,1.4209874185962443,U601,20180418
19,27.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,1.5597495415366602,U601,20180418
20,27.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,1.0284705695807979,U601,20180418
21,27.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,1.2057870629128151,U601,20180418
22,27.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,1.434807001393078,U601,20180418
23,27.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,1.56425455829927,U601,20180418
24,28.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,1.0040388353348426,U601,20180418
25,28.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,1.246449320167195,U601,20180418
26,28.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,1.541207322917277,U601,20180418
27,28.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,1.7030006052244906,U601,20180418
28,28.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,1.0968911257213596,U601,20180418
29,28.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,1.2958806324018017,U601,20180418
30,28.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,1.5570187881461055,U601,20180418
31,28.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,1.7083612378228752,U601,20180418
32,29.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,1.0632574627032825,U601,20180418
33,29.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,1.33152665093114,U601,20180418
34,29.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,1.6630505403465592,U601,20180418
35,29.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,1.8480987922078136,U601,20180418
36,29.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,1.1650538972406226,U601,20180418
37,29.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,1.3864172765778304,U601,20180418
38,29.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,1.6808575168427724,U601,20180418
39,29.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,1.8542324171601676,U601,20180418
40,30.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,1.1219128767797866,U601,20180418
41,30.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,1.4166028369779724,U601,20180418
42,30.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,1.7863974362535948,U601,20180418
43,30.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,1.9963641348744419,U601,20180418
44,30.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,1.232751344095034,U601,20180418
45,30.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,1.4770786876722966,U601,20180418
46,30.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,1.8062953030452598,U601,20180418
47,30.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,2.0033690029967826,U601,20180418
48,31.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,1.180005501158797,U601,20180418
49,31.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,1.5015432451637631,U601,20180418
50,31.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,1.911069837954649,U601,20180418
51,31.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,2.147327871270838,U601,20180418
52,31.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,1.2999356207241373,U601,20180418
53,31.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,1.5677096889087037,U601,20180418
54,31.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,1.9331529921692632,U601,20180418
55,31.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,2.1552284423187693,U601,20180418
56,32.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,1.2373306586572146,U601,20180418
57,32.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,1.5860047690842973,U601,20180418
58,32.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,2.036373397174256,U601,20180418
59,32.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,2.2998421176379167,U601,20180418
60,32.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,1.3663582133029801,U601,20180418
61,32.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,1.6579241163945062,U601,20180418
62,32.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,2.0606921972350185,U601,20180418
63,32.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,2.308631160652208,U601,20180418
64,33.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,1.2938611176387262,U601,20180418
65,33.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,1.6698865564034293,U601,20180418
66,33.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,2.162194192489198,U601,20180418
67,33.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,2.4542586164447373,U601,20180418
68,33.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,1.431972416411344,U601,20180418
69,33.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,1.7476153661978755,U601,20180418
70,33.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,2.188832157490489,U601,20180418
71,33.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,2.4640110276630893,U601,20180418
72,34.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,1.3496242444854427,U601,20180418
73,34.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,1.7531834837344156,U601,20180418
74,34.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,2.2886063311381264,U601,20180418
75,34.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,2.611067093406841,U601,20180418
76,34.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,1.496805083767633,U601,20180418
77,34.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,1.8367911370710106,U601,20180418
78,34.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,2.3176910104822936,U601,20180418
79,34.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,2.6218998838170053,U601,20180418
80,35.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,1.4046076332229818,U601,20180418
81,35.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,1.835872388505751,U601,20180418
82,35.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,2.415671287850804,U601,20180418
83,35.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,2.7705054702952436,U601,20180418
84,35.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,1.560849096170561,U601,20180418
85,35.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,1.9254464184831495,U601,20180418
86,35.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,2.447356858330569,U601,20180418
87,35.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,2.782543096850524,U601,20180418
88,36.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,1.4588116452265312,U601,20180418
89,36.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,1.9178716843670798,U601,20180418
90,36.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,2.5429990279265646,U601,20180418
91,36.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,2.931398992859187,U601,20180418
92,36.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,1.6240865732617717,U601,20180418
93,36.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,2.0134738959306397,U601,20180418
94,36.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,2.577386205696651,U601,20180418
95,36.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,2.9446650875581466,U601,20180418
96,37.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,1.5122218472217857,U601,20180418
97,37.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,1.9990659004413553,U601,20180418
98,37.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,2.669994810393989,U601,20180418
99,37.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,3.092190178297846,U601,20180418
100,37.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,1.686474856553549,U601,20180418
101,37.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,2.100712121220257,U601,20180418
102,37.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,2.7071011084225107,U601,20180418
103,37.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,3.1066242811807743,U601,20180418
