,kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,LabName,MeasurementDate
0,25.0,4.4,0.0,0,795,Allura Clarity,Plane A,11,0.8799780330575585,U104,20180412
1,25.0,4.4,0.1,0,795,Allura Clarity,Plane A,11,1.022788174157871,U104,20180412
2,25.0,4.4,0.4,0,795,Allura Clarity,Plane A,11,1.1980398066845084,U104,20180412
3,25.0,4.4,0.9,0,795,Allura Clarity,Plane A,11,1.2892042942559292,U104,20180412
4,25.0,4.4,0.0,1,795,Allura Clarity,Plane A,11,0.9349751910068146,U104,20180412
5,25.0,4.4,0.1,1,795,Allura Clarity,Plane A,11,1.0526332028878886,U104,20180412
6,25.0,4.4,0.4,1,795,Allura Clarity,Plane A,11,1.2075098198701653,U104,20180412
7,25.0,4.4,0.9,1,795,Allura Clarity,Plane A,11,1.2920125182672608,U104,20180412
8,26.0,4.4,0.0,0,795,Allura Clarity,Plane A,11,0.9465325458154493,U104,20180412
9,26.0,4.4,0.1,0,795,Allura Clarity,Plane A,11,1.1095086900364102,U104,20180412
10,26.0,4.4,0.4,0,795,Allura Clarity,Plane A,11,1.3134110278306064,U104,20180412
11,26.0,4.4,0.9,0,795,Allura Clarity,Plane A,11,1.4240260742789561,U104,20180412
12,26.0,4.4,0.0,1,795,Allura Clarity,Plane A,11,1.0086162069951998,U104,20180412
13,26.0,4.4,0.1,1,795,Allura Clarity,Plane A,11,1.143652702921285,U104,20180412
14,26.0,4.4,0.4,1,795,Allura Clarity,Plane A,11,1.3245543028121218,U104,20180412
15,26.0,4.4,0.9,1,795,Allura Clarity,Plane A,11,1.4275748354327331,U104,20180412
16,27.0,4.4,0.0,0,795,Allura Clarity,Plane A,11,1.0132901239194132,U104,20180412
17,27.0,4.4,0.1,0,795,Allura Clarity,Plane A,11,1.1975495345344767,U104,20180412
18,27.0,4.4,0.4,0,795,Allura Clarity,Plane A,11,1.4321385692039033,U104,20180412
19,27.0,4.4,0.9,0,795,Allura Clarity,Plane A,11,1.5633732621830632,U104,20180412
20,27.0,4.4,0.0,1,795,Allura Clarity,Plane A,11,1.082770346732908,U104,20180412
21,27.0,4.4,0.1,1,795,Allura Clarity,Plane A,11,1.2362469972706822,U104,20180412
22,27.0,4.4,0.4,1,795,Allura Clarity,Plane A,11,1.445039665554096,U104,20180412
23,27.0,4.4,0.9,1,795,Allura Clarity,Plane A,11,1.5676853144714267,U104,20180412
24,28.0,4.4,0.0,0,795,Allura Clarity,Plane A,11,1.0800741458297956,U104,20180412
25,28.0,4.4,0.1,0,795,Allura Clarity,Plane A,11,1.2866348448657074,U104,20180412
26,28.0,4.4,0.4,0,795,Allura Clarity,Plane A,11,1.553962970701866,U104,20180412
27,28.0,4.4,0.9,0,795,Allura Clarity,Plane A,11,1.707311045014872,U104,20180412
28,28.0,4.4,0.0,1,795,Allura Clarity,Plane A,11,1.1572256275478165,U104,20180412
