kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,h,comment
50,4.1,0,0,770,AXIOM-Artis,Single Plane,8,2.33,0.808,Inherent filtration measured in lab 106 - 2018-03-28
50,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,3.1,0.868,Inherent filtration measured in lab 106 - 2018-03-28
50,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,3.63,0.902,Inherent filtration measured in lab 106 - 2018-03-28
50,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,4.02,0.924,Inherent filtration measured in lab 106 - 2018-03-28
50,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,4.76,0.958,Inherent filtration measured in lab 106 - 2018-03-28
50,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,5.18,0.973,Inherent filtration measured in lab 106 - 2018-03-28
51,4.1,0,0,770,AXIOM-Artis,Single Plane,8,2.38,0.804,Inherent filtration measured in lab 106 - 2018-03-28
51,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,3.18,0.865,Inherent filtration measured in lab 106 - 2018-03-28
51,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,3.72,0.9,Inherent filtration measured in lab 106 - 2018-03-28
51,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,4.13,0.922,Inherent filtration measured in lab 106 - 2018-03-28
51,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,4.89,0.957,Inherent filtration measured in lab 106 - 2018-03-28
51,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,5.33,0.972,Inherent filtration measured in lab 106 - 2018-03-28
52,4.1,0,0,770,AXIOM-Artis,Single Plane,8,2.43,0.8,Inherent filtration measured in lab 106 - 2018-03-28
52,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,3.25,0.862,Inherent filtration measured in lab 106 - 2018-03-28
52,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,3.81,0.897,Inherent filtration measured in lab 106 - 2018-03-28
52,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,4.23,0.92,Inherent filtration measured in lab 106 - 2018-03-28
52,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,5.02,0.955,Inherent filtration measured in lab 106 - 2018-03-28
52,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,5.48,0.971,Inherent filtration measured in lab 106 - 2018-03-28
