kvp_kV,inherent_filtration_mmAl,added_filtration_mmCu,hvl_mmAl,h,field_side_length_cm,backscatter,mu_en_quotient
50,2.5,0,1.78,0.75,5,1.192,1.016
50,3.1,0,1.99,0.78,5,1.204,1.016
50,4.1,0,2.30,0.81,5,1.219,1.016
50,5.1,0,2.57,0.83,5,1.231,1.015
50,3.1,0.1,2.89,0.85,5,1.244,1.015
50,4.1,0.1,3.09,0.87,5,1.250,1.015
50,3.1,0.2,3.49,0.89,5,1.263,1.016
50,4.1,0.2,3.62,0.90,5,1.267,1.016
50,2.5,0.3,3.85,0.91,5,1.274,1.016
50,3.1,0.3,3.91,0.92,5,1.275,1.016
50,3.1,0.6,4.70,0.96,5,1.293,1.018
50,2.5,0.9,5.13,0.97,5,1.301,1.019
50,3.1,0.9,5.15,0.97,5,1.301,1.019
60,2.5,0,2.11,0.72,5,1.210,1.017
60,3.1,0,2.37,0.74,5,1.222,1.017
60,4.1,0,2.76,0.77,5,1.237,1.017
60,5.1,0,3.09,0.80,5,1.248,1.017
60,3.1,0.1,3.51,0.82,5,1.261,1.018
60,4.1,0.1,3.76,0.84,5,1.268,1.018
60,3.1,0.2,4.28,0.87,5,1.280,1.020
60,4.1,0.2,4.45,0.88,5,1.283,1.020
60,2.5,0.3,4.76,0.89,5,1.289,1.021
60,3.1,0.3,4.84,0.90,5,1.291,1.021
60,3.1,0.6,5.90,0.94,5,1.305,1.025
60,2.5,0.9,6.49,0.96,5,1.311,1.027
60,3.1,0.9,6.51,0.96,5,1.311,1.027
70,2.5,0,2.43,0.69,5,1.222,1.019
70,3.1,0,2.73,0.72,5,1.233,1.019
70,4.1,0,3.18,0.75,5,1.248,1.020
70,5.1,0,3.57,0.77,5,1.258,1.020
70,3.1,0.1,4.08,0.80,5,1.270,1.022
70,4.1,0.1,4.36,0.82,5,1.276,1.022
70,3.1,0.2,4.99,0.85,5,1.287,1.024
70,4.1,0.2,5.20,0.86,5,1.290,1.025
70,2.5,0.3,5.56,0.88,5,1.294,1.026
70,3.1,0.3,5.66,0.88,5,1.295,1.027
70,3.1,0.6,6.94,0.93,5,1.305,1.032
70,2.5,0.9,7.65,0.95,5,1.307,1.036
70,3.1,0.9,7.68,0.96,5,1.307,1.036
80,2.5,0,2.77,0.67,5,1.231,1.021
80,3.1,0,3.12,0.69,5,1.242,1.022
80,4.1,0,3.63,0.73,5,1.255,1.023
80,5.1,0,4.08,0.75,5,1.265,1.024
80,3.1,0.1,4.66,0.78,5,1.275,1.026
80,4.1,0.1,4.99,0.80,5,1.280,1.027
80,3.1,0.2,5.71,0.84,5,1.289,1.030
80,4.1,0.2,5.94,0.85,5,1.291,1.030
80,2.5,0.3,6.36,0.87,5,1.294,1.032
80,3.1,0.3,6.47,0.87,5,1.295,1.033
80,3.1,0.6,7.88,0.93,5,1.300,1.039
