kVp_kV,HVL_mmAl,UdivRho,FieldSize_cm
50,1.78,1.016,5
50,1.99,1.016,5
50,2.3,1.016,5
50,2.57,1.015,5
50,2.89,1.015,5
50,3.09,1.015,5
50,3.49,1.016,5
50,3.62,1.016,5
50,3.85,1.016,5
50,3.91,1.016,5
50,4.7,1.018,5
50,5.13,1.019,5
50,5.15,1.019,5
60,2.11,1.017,5
60,2.37,1.017,5
60,2.76,1.017,5
60,3.09,1.017,5
60,3.51,1.018,5
60,3.76,1.018,5
60,4.28,1.02,5
60,4.45,1.02,5
60,4.76,1.021,5
60,4.84,1.021,5
60,5.9,1.025,5
60,6.49,1.027,5
60,6.51,1.027,5
70,2.43,1.019,5
70,2.73,1.019,5
70,3.18,1.02,5
70,3.57,1.02,5
70,4.08,1.022,5
70,4.36,1.022,5
70,4.99,1.024,5
70,5.2,1.025,5
70,5.56,1.026,5
70,5.66,1.027,5
70,6.94,1.032,5
70,7.65,1.036,5
70,7.68,1.036,5
80,2.77,1.021,5
80,3.12,1.022,5
80,3.63,1.023,5
80,4.08,1.024,5
80,4.66,1.026,5
80,4.99,1.027,5
80,5.71,1.03,5
80,5.94,1.03,5
80,6.36,1.032,5
80,6.47,1.033,5
80,7.88,1.039,5
80,8.66,1.044,5
80,8.69,1.044,5
90,3.14,1.024,5
90,3.53,1.025,5
90,4.1,1.026,5
90,4.59,1.028,5
90,5.24,1.03,5
90,5.6,1.031,5
90,6.38,1.035,5
90,6.62,1.036,5
90,7.07,1.038,5
90,7.18,1.038,5
90,8.66,1.046,5
90,9.45,1.05,5
90,9.48,1.05,5
100,3.52,1.027,5
100,3.95,1.028,5
100,4.57,1.03,5
100,5.09,1.032,5
100,5.79,1.034,5
100,6.17,1.036,5
100,6.97,1.039,5
100,7.23,1.04,5
100,7.69,1.042,5
100,7.81,1.043,5
100,9.3,1.051,5
100,10.1,1.056,5
100,10.14,1.056,5
110,3.91,1.03,5
110,4.37,1.031,5
110,5.02,1.033,5
110,5.57,1.035,5
110,6.3,1.038,5
110,6.69,1.04,5
110,7.51,1.043,5
110,7.77,1.044,5
110,8.23,1.047,5
110,8.35,1.047,5
110,9.85,1.055,5
110,10.67,1.06,5
110,10.7,1.061,5
120,4.31,1.033,5
120,4.79,1.034,5
120,5.47,1.036,5
120,6.04,1.039,5
120,6.78,1.042,5
120,7.18,1.043,5
120,8.01,1.047,5
120,8.27,1.048,5
120,8.73,1.05,5
120,8.85,1.051,5
120,10.34,1.059,5
120,11.17,1.064,5
120,11.21,1.064,5
130,4.71,1.035,5
130,5.21,1.037,5
130,5.91,1.039,5
130,6.49,1.042,5
130,7.24,1.045,5
130,7.63,1.046,5
130,8.46,1.05,5
130,8.72,1.051,5
130,9.18,1.054,5
130,9.3,1.054,5
130,10.79,1.062,5
130,11.62,1.067,5
130,11.66,1.068,5
140,5.11,1.038,5
140,5.62,1.04,5
140,6.34,1.042,5
140,6.92,1.045,5
140,7.67,1.048,5
140,8.07,1.049,5
140,8.89,1.053,5
140,9.14,1.054,5
140,9.59,1.056,5
140,9.71,1.057,5
140,11.2,1.065,5
140,12.04,1.07,5
140,12.09,1.071,5
150,5.52,1.041,5
150,6.04,1.042,5
150,6.75,1.045,5
150,7.34,1.047,5
150,8.09,1.05,5
150,8.48,1.052,5
150,9.29,1.056,5
150,9.54,1.057,5
150,9.98,1.059,5
150,10.1,1.06,5
150,11.58,1.068,5
150,12.44,1.073,5
150,12.48,1.073,5
50,1.78,1.016,10
50,1.99,1.016,10
50,2.3,1.015,10
50,2.57,1.015,10
50,2.89,1.015,10
50,3.09,1.015,10
50,3.49,1.016,10
50,3.62,1.016,10
50,3.85,1.016,10
50,3.91,1.016,10
50,4.7,1.018,10
50,5.13,1.019,10
50,5.15,1.019,10
60,2.11,1.017,10
60,2.37,1.017,10
60,2.76,1.017,10
60,3.09,1.017,10
60,3.51,1.018,10
60,3.76,1.018,10
60,4.28,1.019,10
60,4.45,1.02,10
60,4.76,1.02,10
60,4.84,1.021,10
60,5.9,1.024,10
60,6.49,1.026,10
60,6.51,1.026,10
70,2.43,1.019,10
70,2.73,1.019,10
70,3.18,1.019,10
70,3.57,1.02,10
70,4.08,1.021,10
70,4.36,1.022,10
70,4.99,1.023,10
70,5.2,1.024,10
70,5.56,1.025,10
70,5.66,1.026,10
70,6.94,1.031,10
70,7.65,1.034,10
70,7.68,1.034,10
80,2.77,1.021,10
80,3.12,1.021,10
80,3.63,1.022,10
80,4.08,1.023,10
80,4.66,1.025,10
80,4.99,1.026,10
80,5.71,1.028,10
80,5.94,1.029,10
80,6.36,1.031,10
80,6.47,1.031,10
80,7.88,1.038,10
80,8.66,1.042,10
80,8.69,1.042,10
